,sentence,label
41,tolong turunkan rok kamu maafkan aku apa yang kamu lakukan,BLANK BLANK BLANK DOT BLANK QUES BLANK BLANK BLANK QUES
42,jangan pedulikan aku pergilah hentikan apa yang kamu kerjakan atau aku akan menhanmu aku tahu kamu,BLANK BLANK COMMA DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT BLANK BLANK DOT
43,bagaimana kamu melakukan itu padaku aktingku pasti kelihatan aneh siapapun yang melihatnya ini mobilku,BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK COMMA BLANK BLANK DOT BLANK DOT
44,aku perlu membeli sesuatu tapi managerku tidak disini dan kebenaran saja aku melihat dari kamarku kalau atapku terbuka jadi aku turun ke bawah untuk mengambil uang dari mobilku lihat kontainer bulat disitu ada uang didalamnya,BLANK BLANK BLANK COMMA BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK QUES BLANK BLANK DOT
45,aku hanya ingin mengambil sedikit uang apakah itu yang kamu butuhkan,BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK QUES
46,ya ini hanya 1000 won,DOT BLANK BLANK BLANK DOT
47,sungguh apa yang kamu butuhkan,QUES BLANK BLANK BLANK QUES
48,2 botol soju 1 cumi kering 1 file ikan kering apakah ini benar,BLANK BLANK COMMA BLANK BLANK COMMA BLANK BLANK BLANK DOT BLANK BLANK QUES
49,wow kamu bahkan membakar cumi kamu memiliki selera yang bagus,COMMA BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
50,jika kamu sudah cukup oke sehingga kamu mampu meminum 2 botol soju kenapa kamu tidak memeriksa dirimu sendiri ke rumah sakit kamu benar aku memalsukannya,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK DOT BLANK DOT
51,ini hanya kebetulan saja waktu yang bagus untukku berakting sedih dan tidak bersemangat mengapa kamu akan memberitahukan reporter,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT COMMA BLANK BLANK BLANK QUES
52,tidak aku mengerti bahwa kamu seharusnya merasa sedih apakah kamu merasa kasihan padaku,DOT BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK QUES
53,jika kamu mengasihaniku karena ditinggalkan di altar jangan bukankah kamu berakting sedih dan patah hati karena kamu ingin orangorang mengasihanimu beri aku nomormu jadi aku bisa membayarmu kembali,BLANK BLANK BLANK BLANK BLANK BLANK COMMA DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
54,jangan khawatir tentang ini aku hanya berharap 2 botol soju yang aku beli utkmu bisa membantumu pulih dari kesedihan'mu lebih baik drpd rmh sakit,BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK
55,apakahdia barusan menolak tawaranku untuk memberinya nomorku dia tidak punya perasaan apakah kamu suami choi yoon hee,BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK QUES
56,ya apakah itu istrimu,DOT BLANK BLANK QUES
57,dia sudah meninggal dunia yoon hee,BLANK BLANK BLANK DOT BLANK DOT
58,apakah kamu yakin wanita mati itu disini ya haruskah kita pergi tapi nanti kamu,BLANK BLANK BLANK BLANK BLANK BLANK QUES COMMA BLANK BLANK QUES BLANK COMMA DOT
59,apakah kamu benarbenar akan pergi kesana seperti itu apa yang bisa aku lakukan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK QUES
60,bukankah ini memalukan tidak apa suatu kali ketika aku lari keluar dari spa telanjang aku pulang ke rumah dengan tubuhku ditutupi kotak,BLANK BLANK QUES BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
61,dibandingan insiden itu kotak tissue ini tidak begitu memalukan ayo pergi,BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT BLANK DOT
62,jika pemilik sepatu itu tidak disini aku akan memasukkanmu ke rumah sakit dengan kotak tissue dikakimu aku benci masuk ke ugd dimana pemilik sepatunya,BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT BLANK BLANK QUES
63,disana sekarang kamu sudah mengkonfimasikannya dengan matamu sendiri kamu akhirnya bisa mempercayaiku dan mengerti betapa takutnya aku bukan,DOT BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA QUES
64,tidakkah kamu takut kalau hantu benar2 ada tidak aku tidak takut siapa peduli ketika kau tidak melihat mereka,BLANK BLANK BLANK BLANK BLANK BLANK QUES COMMA BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK QUES
65,aku tidak membuang waktu membayangkan halhal yang tidak berguna tapi hantu,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK DOT
66,dia menyeret kakinya seperti ini dan datang padaku jangan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT DOT
67,ketika aku meraihmu seperti ini hantu itu pergi apakah kamu akhirnya mengerti mengapa aku memegangmu seperti ini joo goon tidak membiarkan sembarang orang berada disisinya,BLANK BLANK BLANK BLANK COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
68,dia menganalisa apakah orang itu berguna atau akan berguna dimasa depan dan buka matanya dan telinganya hanya ketika dia memutuskan seseorang sesuai standarnya dia hanya sedikit memilih tentang calon istrinya dalam masalah yang sama jadi kamu mengatakan,BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT BLANK BLANK DOT
69,aku yakin dia akan menemukan seseorang terukur dengan standarnya tapi kadangkadang ada orang yang tidak bisa diukur dengan cara biasa ini bukan karena uangmu ataupun karena kamu tampan tapi itu karena aku melihat hantu,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT
70,aku bukan candy yang menempel padamu untuk menggodamu apakah kamu kristiani,BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK QUES
71,apakah kamu bilang kamu punya indra keenam ya membelitkan bukan,BLANK BLANK BLANK BLANK BLANK BLANK QUES COMMA COMMA QUES
72,aku pikir candy yang suram sedang menggoda tapi kamu hanya berakting pada indra keenammu jika kamu menempel padaku karena han hal itu mengapa mereka menempel padamu mereka datang padaku meminta semacam pertolongan,BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK COMMA BLANK COMMA BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK DOT
73,mereka tidak menjelaskan dengan sopan situasi mereka atau meminta untuk dimaafkan seperti mahluk hidup mereka muncul secara acak dan setelah mengatakan apa yang perlu mrk terus muncul secara acak dan menyiksaku sampai aku melakukan apa yang mrk mau apa yang pemilik sepatu itu inginkan darimu,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES
74,dia ingin aku menyerahkan sepatu ini ke suaminya dia bilang dia akan melihat dan membuatku aman pria itu sepertinya suaminya bukan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK COMMA QUES
75,aku kenal pria itu dia pemilik sebuah toko di kingdomku sungguh,BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK DOT QUES
76,dia pasti kehilangan sepatunya ketika dia datang menemui suaminya aku bertanyatanya jika sepatu ini punya arti khusus untuknya,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
77,dia meninggal dia meninggal ini sebuah keajaiban bagaimana nyamannya bahwa dia meninggal,BLANK DOT BLANK DOT BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
78,senyuman di wajah suaminya lebih menakutkan daripada hantu ketika aku takut seblumnya aku kelupaan sepatuku karena terburuburu dan hanya berlari ini pasti sama halnya dengannya,BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
79,apa kamu pikir dia lihat ketika dia pergi meninggalkan sepatu ini aku tidak membiarkan imajinasiku berjalan liar tentang halhal yang tidak berguna entah baaimana aku merasa dia melihat sesuatu yang membuatnya marah dan tidak adil,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
80,diameninggal akumemberitahumu diameninggal ini sungguh keajaiban,DOT COMMA DOT BLANK BLANK DOT
81,aku bilang wanita itu meninggal demi kita dengan sendirinya dia tidak akan ketawa jika aku katakan istri matinya mengawasi dia bukan ayo pergi,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA QUES BLANK DOT
82,kerjakan dengan baik pergi dan ungkapkan ketidakadilan dan beri dia pembalasan untuk dendamnya kemana kamu pergi,BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK QUES
83,kamu harus datang denganku kenapa aku harus,BLANK BLANK BLANK DOT BLANK BLANK QUES
84,aku tidak bisa kembali tanpamu itu menakutkan dan hantu lainnya mungkin menempel padaku juga,BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
85,aku membutuhkanmu tempat persembunyian pengaman khusus ketika kamu menyentuhku kamu tidak bisa melihat hantu bukan,BLANK DOT BLANK BLANK BLANK QUES BLANK BLANK COMMA BLANK BLANK BLANK BLANK COMMA QUES
86,ketika kamu takut kamu akan berlari dan memegangku bukan tapi apakah hantu pernah memberikan informasi yang berguna juga seperti saham mana yang di invest dimana kamu akan menemukan minyak dimana kamu akan menemukan harta karun tenggelam,BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES COMMA BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
87,atau nomor menang lotre minggu depan kalau begitu aku tidak membutuhkanmu jika indra keenammu hanya membuatmu melihat hantu yang tidak berguna jadi indra keenammu ini tidak berguna untukku,COMMA BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
88,lagipula aku akan memberimu nasihat berdasarkan hal yang aku lihat dan dengar setelah datang kesini orang melihatmu sebagai wanita gila karena kamu lari mengatakan kamu melihat hantu ketika memakai kotak tissue dikakimu,COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
89,sadarlah dan urus wajahmu tuan ceo kamu tahu aku tidak gila kamu melihatnya jadi kamu mempercayaiku,BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK COMMA BLANK BLANK DOT
90,tidak aku hanya akan melihat apa yang aku ingin lihat dan percaya apa yang aku ingin percaya aku melihatmu sebagai wanita gila dan tidak mempercayai katakatamu,COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
91,ah serius apakah kamu tahu bursa saham akan seperti apa besok bisakah kamu memberitahuku nomor menang lotre,COMMA DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK QUES
92,kamu bahkan tidak bisa memberitahuku itu beritaku aku hal itu dulu sebelum kamu minta tolong padaku ini sangat mengganggu,BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT
93,lagi apa ini,DOT BLANK QUES
94,aku punya sepatunya ini kokoh dan nyaman tidak keberatan memakainya,BLANK BLANK DOT BLANK DOT BLANK DOT BLANK BLANK DOT
95,apa pecah,QUES DOT
96,ini robek mengapa ini terus keluar tae gong shil,BLANK DOT BLANK BLANK BLANK QUES BLANK BLANK DOT
97,kang woo sedang apa kau disini aku tadi mengantar asisten manajer ahn ke rumah sakit dan sekarang akan pulang,BLANK DOT BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
98,aku juga dari rumah sakit apa dia baikbaik saja ya,BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK QUES DOT
99,kenapa sepatuku hilang aku terlihat seperti orang gila memakai ini kan,QUES BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK COMMA QUES
100,tidak sudah tepat kau memakainya untuk melindungi kakimu,DOT BLANK BLANK BLANK BLANK BLANK BLANK DOT
101,aku rasa kotak tissue ini sudah melakukan tugasnya dengan patuh dan mati kita harus membiarkannya pergi dan memanggil bantuan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
102,ada taksi disitu mengapa kita tidak mengambil itu tempat persembunyian pengamanku meninggalkanku tapi aku rasa aku menemukan menyelamat baru shh,BLANK BLANK COMMA BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT DOT
103,tidak apa kamu berbelok ke jalan yang salah,BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT
104,aku tahu diamlah,BLANK DOT DOT
105,mengapa aku harus melihat halahal yang tidak berguna apakah dia berlari menggunakan kotak tissue seberapa jauh dia pergi,BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK QUES
106,anda belok di jalan yang salah aku tahu nanti aku akan kesana,BLANK BLANK BLANK BLANK BLANK DOT BLANK COMMA BLANK BLANK BLANK DOT
107,belok kanan apaapaan ini belok kanan lagi,BLANK DOT BLANK COMMA BLANK BLANK QUES
108,bukankah itu akan membuatku kembali ke tempat yang tadi kami kira istrimu mengemudi dalam keadaan mabuk karena dia hanya memakai satu sepatu ternyata dia tidak mabuk,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK DOT
109,jadi masalahnya tidak hanya saja kami merasa ada yang aneh karena dia hanya memakai satu sepatu,BLANK QUES COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
110,menantu choi apakah polisi mengatakan bahwa mobil anakku tabrakan bukan karena kecelakaan,BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES
111,tenanglah ibu aku yakin dia meninggalkan sepatu satunya di suatu tempat aku akan mencarinya,BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT
112,kau sudah mencari sepatu yang hilang tidak ada apaapa,BLANK BLANK BLANK BLANK BLANK QUES BLANK BLANK QUES
113,ok terima kasih berkatmu aku bisa sampai disini terima kasih sebagai gantinya bolehkah kutanya sesuatu,DOT BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK DOT BLANK COMMA BLANK BLANK QUES
114,tentang apa kau bilang kalau kau punya orang spesial di mall kingdom apakah dia presdir joo joong won iya,BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK QUES DOT
115,apa juga karena dia kau ingin bekerja disana seperti itulah,BLANK BLANK BLANK COMMA BLANK BLANK BLANK QUES BLANK DOT
116,kulihat dia jauhjauh datang kesini untuk menemuimu apa kalian punya hubungan spesial maafkan aku aku hanya ingin tahu apakah kita masih bisa pulang bersama seperti ini lagi,BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK QUES BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
117,kau tahu kan tidak sopan melakukannya dengan wanita milik bos aku bukan wanita yang spesial,BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
118,buat ceo aku hanya wanita yang membingungkan kalau begitu kita bisa pulang bersama lagi,BLANK COMMA COMMA BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK DOT
119,terima kasih banyak untuk hari ini siapa pria tampan tadi,BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK QUES
120,dia kepala keamanan di kingdom dan dia tinggal di kamar 404,BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK QUES
121,iya apakah dia tahu dunia mentalmu jika dia tahu pasti dia tak akan mau pulang bersamaku,DOT BLANK BLANK COMMA BLANK QUES BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
122,gong sil kau seperti ini mungkin karena kau tak punya energi yang yang cukup jadilah temannya dan kau akan menerima energi lakilaki darinya energi lakilaki,BLANK COMMA BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK QUES
123,menurut kepercayaan jika seorang jiwa melihat arwah maka ia akan kehilangan tenaga dan hubungannya dengan seorang lakilaki akan selalu gagal melihat hal seperti itu seperti menjadi paranormal siapa tahi kamu bisa mendapatkan energi pria kamu menjadi sehat,BLANK COMMA BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK COMMA BLANK BLANK DOT
124,benarkah hmm mungkin joo goon itu spesial karena energi pria miliknya sangat kuat,QUES COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
125,siapa pria itu hanya seseorang siapapun dia pergilah mengenalnya,BLANK BLANK QUES BLANK DOT BLANK COMMA BLANK DOT
126,sedotlah energi dari dia bagaimana aku bisa melakukan itu kalau dia tidak membiarkanku menaruh tanganku diatasnya baiklah ayo mulai dengan pria di apt 404,BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES COMMA BLANK BLANK BLANK BLANK BLANK BLANK DOT
127,pergilah tidur aku tidak bisa tidur,BLANK DOT BLANK BLANK BLANK DOT
128,walaupun aku tidur nyenyak hantu itu akan datang menggangguku apakah ada sesuatu disini,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT COMMA BLANK BLANK QUES
129,keutungan musim panas ini telah memukul semua rekor tinggi mall kingdom berjalan dengan baik mall raksasa akan segera dibuka jadi pastikan untuk memilik strategi yang kuat untuk terus menaikkan keuntungan,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
130,toko ini adalah toko ketiga kita yang paling menguntungkan halo presiden,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK DOT
131,halo toko ini tidak begitu menguntungkan ayo pergi,DOT BLANK BLANK BLANK BLANK DOT BLANK DOT
132,toko ini adalah toko kita yang paling menguntungkan presiden joo,BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK DOT
